seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy,class
a,a,W,58324,116,-30,21,a,0,0,0,0,0,0,0,0
a,a,W,21716,49,-41,-29,a,1,0,0,0,0,461,461,0
a,a,W,18168,54,20,38,b,0,1,0,0,0,2680,2680,0
a,a,W,46989,450,12,-4,a,0,1,0,0,0,7410,7410,0
a,a,W,26375,216,30,-13,a,1,0,0,0,0,393,393,0
b,a,N,32835,160,-40,9,a,0,1,0,0,0,1282,1282,0
a,a,N,67728,36,-8,-31,a,0,0,0,0,0,0,0,0
a,a,N,7332,377,-12,-18,a,0,0,0,0,0,0,0,0
a,a,N,26548,423,12,22,a,0,1,0,0,0,3622,3622,0
a,b,W,21007,928,39,3,a,0,1,0,0,0,2540,2540,0
a,b,W,4741,480,60,32,a,0,0,0,0,0,0,0,0
a,a,N,7363,153,-29,5,a,0,1,0,0,0,1920,1920,0
a,a,W,68299,1782,63,-12,a,0,0,1,0,0,16435,13076,1
a,a,N,96499,878,86,36,b,0,0,1,0,0,49734,16199,1
a,a,N,11419,456,-22,48,a,0,0,0,0,0,0,0,0
c,c,N,12340,255,-7,21,a,0,0,0,0,0,0,0,0
a,a,N,12882,396,-62,-8,a,0,0,0,0,0,0,0,0
a,b,N,89635,13,-5,-11,b,0,1,0,0,0,1609,1609,0
a,a,N,40096,133,-2,-39,a,0,0,0,0,0,0,0,0
a,b,W,20621,33,21,-13,b,1,0,0,0,0,224,224,0
a,b,W,17618,1201,-2,-14,a,0,0,0,0,0,0,0,0
a,b,N,66025,101,30,8,a,0,1,0,0,0,1095,1095,0
b,a,N,15873,328,-8,-20,a,1,0,0,0,0,862,862,0
a,b,N,4667,446,21,68,a,0,1,0,0,0,6778,6778,0
a,a,W,12721,228,-34,-70,a,0,1,0,0,0,3770,3770,0
a,b,W,50626,109,-28,-4,b,1,0,0,0,0,765,765,0
a,a,W,7602,247,-23,-30,a,1,0,0,0,0,359,359,0
a,a,N,67880,255,7,9,a,0,1,0,0,0,1446,1446,0
a,c,W,27636,601,13,4,a,0,0,0,0,0,0,0,0
a,b,N,31003,50,-13,10,c,0,1,0,0,0,1743,1743,0
a,b,W,27976,73,-11,-19,a,0,0,0,0,0,0,0,0
a,a,N,8888,728,27,-36,a,0,1,0,0,0,2857,2857,0
a,c,N,6888,150,-13,2,a,1,0,0,0,0,469,469,0
a,b,N,14817,199,-11,11,a,0,0,0,0,0,0,0,0
a,a,W,107349,135,-10,1,a,0,1,0,0,0,8509,8509,0
a,c,W,2226,187,0,-13,a,0,1,0,0,0,3392,3392,0
a,a,W,19056,311,-32,35,b,0,0,0,0,0,0,0,0
a,a,N,98424,106,20,5,b,1,0,0,0,0,807,807,0
a,a,N,210956,19,-4,-15,a,0,0,0,0,0,0,0,0
a,a,W,12632,118,-3,-9,a,0,1,0,0,0,8142,8142,0
a,a,W,19180,91,-6,5,a,0,0,0,0,0,0,0,0
a,a,N,104267,84,-8,64,a,0,0,0,0,0,0,0,0
b,a,N,70760,583,34,10,a,0,0,1,0,0,45318,16621,1
a,a,W,5404,933,50,25,a,0,1,0,0,0,4013,4013,0
a,a,N,20025,372,3,-1,b,0,0,0,0,0,0,0,0
a,a,W,5916,488,-1,8,a,0,0,0,0,0,0,0,0
a,a,W,170468,3138,123,72,a,0,0,1,0,0,126182,39580,1
a,a,N,154879,1023,39,58,a,0,0,1,0,0,49770,20196,1
a,b,W,19894,640,-16,23,b,0,0,0,0,0,0,0,0
a,b,W,18978,219,-28,-15,a,0,0,0,0,0,0,0,0
b,a,N,5836,116,-5,-16,a,0,0,0,0,0,0,0,0
b,a,W,61124,12,54,-8,b,0,0,0,0,0,0,0,0
a,a,W,145105,25,3,9,a,1,0,0,0,0,203,203,0
a,a,N,51815,34,-2,-27,a,1,0,0,0,0,96,96,0
a,c,N,33589,177,-29,3,a,1,0,0,0,0,54,54,0
b,a,W,33911,262,-71,-12,b,0,1,0,0,0,3140,3140,0
a,a,W,77444,683,29,2,a,0,0,0,0,0,0,0,0
a,a,N,11667,201,-20,-39,c,0,0,0,0,0,0,0,0
a,c,N,236184,26,50,-9,b,0,0,0,0,0,0,0,0
a,a,W,16497,29,-7,-13,a,1,0,0,0,0,154,154,0
a,a,W,119928,878,34,-14,a,0,0,0,0,0,0,0,0
a,a,W,35349,842,-9,0,a,0,1,0,0,0,2277,2277,0
a,a,W,11426,189,12,-8,a,0,0,0,0,0,0,0,0
a,b,N,110200,91,0,29,a,0,1,0,0,0,4284,4284,0
a,a,N,33355,87,-15,-6,a,0,1,0,0,0,1569,1569,0
a,a,N,243473,421,77,-13,a,0,0,1,0,0,169010,55737,1
a,a,N,15436,376,-51,0,b,0,0,0,0,0,0,0,0
a,a,W,1319,323,29,32,b,0,1,0,0,0,1431,1431,0
a,a,N,73092,93,-25,35,a,0,0,0,0,0,0,0,0
b,a,W,4395,193,-19,9,a,0,0,0,0,0,0,0,0
a,a,W,209751,1209,105,77,b,0,0,1,0,0,50584,26036,1
a,a,N,77941,62,28,-22,b,0,0,0,0,0,0,0,0
a,a,N,54547,310,15,22,a,0,0,1,0,0,47064,20205,1
b,b,W,14535,74,45,1,a,1,0,0,0,0,740,740,0
b,b,N,26871,317,34,24,a,0,0,0,0,0,0,0,0
a,b,W,33717,37,9,0,a,0,1,0,0,0,2259,2259,0
a,a,W,103698,853,56,104,a,0,0,1,0,0,70854,37053,1
a,a,N,98223,349,-16,-28,c,0,0,0,0,0,0,0,0
a,a,W,34887,246,-29,23,b,0,0,0,0,0,0,0,0
a,a,N,302127,1787,24,61,a,0,1,0,0,0,26129,8185,1
a,b,N,72837,172,-5,-11,a,0,0,0,0,0,0,0,0
a,b,N,11861,221,-32,12,a,0,1,0,0,0,3007,3007,0
a,b,W,10257,312,-51,-22,a,0,0,0,0,0,0,0,0
a,a,N,42374,446,7,7,a,0,0,0,0,0,0,0,0
a,b,W,145526,731,20,-28,b,0,0,0,0,0,0,0,0
b,c,N,33927,749,54,-45,a,1,0,0,0,0,340,340,0
a,a,W,1072,100,5,23,a,0,1,0,0,0,1460,1460,0
a,a,W,35962,229,-54,-11,a,0,0,0,0,0,0,0,0
a,a,W,93899,49,-7,-41,a,0,1,0,0,0,2113,2113,0
a,a,W,70747,3403,45,71,b,0,0,1,0,0,174794,58567,1
a,b,W,58751,448,0,-14,a,1,0,0,0,0,241,241,0
a,a,N,51652,102,2,-8,a,0,0,0,0,0,0,0,0
a,a,W,3973,181,-14,-40,b,1,0,0,0,0,692,692,0
b,a,N,244548,84,-71,51,a,1,0,0,0,0,217,217,0
b,a,N,4949,324,23,32,a,0,0,0,0,0,0,0,0
b,a,N,14279,301,-12,-15,a,0,0,0,0,0,0,0,0
a,c,N,18017,869,13,-76,a,0,0,0,0,0,0,0,0
a,a,W,30716,818,-27,-24,a,0,1,0,0,0,3906,3906,0
a,b,N,94411,17,-13,-34,a,0,0,0,0,0,0,0,0
b,b,N,121927,276,100,72,a,0,0,1,0,0,24794,10406,1
a,a,N,184458,603,90,112,a,0,0,1,0,0,75186,44512,1
b,c,N,4571,29,-3,-15,b,0,1,0,0,0,1796,1796,0
a,a,N,23156,801,20,-3,a,0,1,0,0,0,2049,2049,0
b,a,N,15449,745,41,-27,b,0,0,0,0,0,0,0,0
a,a,W,38988,386,38,-30,a,1,0,0,0,0,624,624,0
a,a,W,4786,13,-3,24,a,0,0,0,0,0,0,0,0
b,a,W,22521,34,83,0,a,0,1,0,0,0,2221,2221,0
a,b,N,6166,842,-40,5,a,0,0,0,0,0,0,0,0
c,a,N,4760,736,3,45,a,0,1,0,0,0,3435,3435,0
b,a,N,212540,1449,139,87,a,0,0,1,0,0,78344,26719,1
c,b,W,46497,621,3,-15,b,0,0,0,0,0,0,0,0
a,b,N,65216,15,-53,8,b,1,0,0,0,0,100,100,0
a,a,N,184900,1029,35,46,a,0,0,0,0,0,0,0,0
a,a,W,48375,347,29,-27,a,1,0,0,0,0,461,461,0
b,a,N,13775,437,-34,11,a,0,0,0,0,0,0,0,0
a,a,W,4908,512,32,13,a,0,1,0,0,0,1729,1729,0
a,a,N,40104,216,-41,26,b,0,1,0,0,0,6003,6003,0
a,b,N,111928,20,19,17,a,0,0,0,0,0,0,0,0
b,a,N,9594,301,-13,-9,a,0,0,0,0,0,0,0,0
b,a,W,301115,1083,85,26,a,0,0,1,0,0,119235,68699,1
a,b,N,6967,355,26,0,a,0,0,0,0,0,0,0,0
a,a,W,93095,64,-28,-33,a,1,0,0,0,0,4,4,0
a,a,N,30101,97,-6,6,a,0,0,0,0,0,0,0,0
a,a,W,574765,526,79,7,a,0,0,1,0,0,88122,31777,1
a,b,N,8385,230,-17,-6,a,0,0,0,0,0,0,0,0
a,b,W,6436,43,-5,-23,a,0,0,0,0,0,0,0,0
a,b,W,22075,406,-14,26,a,0,1,0,0,0,3665,3665,0
b,a,N,38330,241,12,-69,b,0,1,0,0,0,2260,2260,0
a,b,W,6302,175,32,29,b,1,0,0,0,0,836,836,0
a,a,W,137842,1282,-10,14,b,0,0,0,0,0,0,0,0
b,a,W,9858,593,-31,48,c,0,1,0,0,0,3397,3397,0
a,a,N,21154,121,20,-1,a,0,1,0,0,0,2872,2872,0
b,a,W,594736,578,112,57,a,0,0,1,0,0,59218,32461,1
a,a,N,45667,462,111,37,a,0,0,1,0,0,51851,18751,1
b,a,W,13461,193,20,-30,b,0,0,0,0,0,0,0,0
a,a,W,19183,281,24,3,a,0,0,0,0,0,0,0,0
a,a,W,80140,258,63,33,a,0,0,1,0,0,135122,48932,1
a,b,W,10458,36,-17,-7,b,0,0,0,0,0,0,0,0
c,b,N,12097,517,-6,-20,a,1,0,0,0,0,950,950,0
c,a,N,20000,226,-10,-4,a,0,0,0,0,0,0,0,0
a,a,W,3040,48,-24,-26,a,0,1,0,0,0,1738,1738,0
a,a,N,163795,328,70,117,a,0,0,1,0,0,47228,31613,1
a,a,N,31549,116,-8,32,a,0,0,0,0,0,0,0,0
a,b,W,56704,281,-29,20,a,0,0,0,0,0,0,0,0
b,a,W,85362,60,-21,-16,a,0,1,0,0,0,1971,1971,0
a,a,W,47617,125,28,31,a,0,0,0,0,0,0,0,0
b,a,W,15722,15,1,-7,a,0,0,0,0,0,0,0,0
a,b,W,22269,228,-18,10,a,0,0,0,0,0,0,0,0
a,a,W,74624,104,-40,10,c,0,0,0,0,0,0,0,0
b,a,N,10454,306,45,15,a,0,1,0,0,0,3543,3543,0
a,a,W,2036,243,15,-30,c,1,0,0,0,0,108,108,0
a,b,W,16551,1640,-11,-17,a,0,0,0,0,0,0,0,0
b,b,W,72128,714,-7,65,a,1,0,0,0,0,1,1,0
a,a,N,8475,197,-4,31,a,1,0,0,0,0,564,564,0
a,b,W,24350,829,-9,-23,a,0,0,0,0,0,0,0,0
b,b,N,4654,302,-7,-2,a,0,0,0,0,0,0,0,0
a,b,N,23108,585,16,-65,a,0,1,0,0,0,5423,5423,0
a,b,N,4079,1261,42,21,a,0,1,0,0,0,2195,2195,0
a,a,W,20664,119,24,-24,b,0,0,0,0,0,0,0,0
a,a,N,53492,345,0,-23,a,0,1,0,0,0,1906,1906,0
c,c,W,1874,166,26,28,c,1,0,0,0,0,498,498,0
a,a,W,9342,91,-23,-6,a,1,0,0,0,0,660,660,0
a,c,W,43420,116,28,13,a,1,0,0,0,0,626,626,0
b,a,W,6548,62,23,6,a,0,0,0,0,0,0,0,0
a,a,N,35211,53,-3,14,b,0,0,0,0,0,0,0,0
b,a,W,52719,208,-32,32,a,0,0,0,0,0,0,0,0
b,b,N,9499,514,12,8,a,1,0,0,0,0,489,489,0
a,a,N,12945,922,11,-2,a,0,0,0,0,0,0,0,0
a,a,W,12185,163,1,-6,a,0,1,0,0,0,8132,8132,0
a,b,W,95226,338,25,14,a,0,0,0,0,0,0,0,0
b,c,N,39521,50,-35,-1,a,0,1,0,0,0,2900,2900,0
a,a,N,37569,66,-22,4,c,0,1,0,0,0,4117,4117,0
a,a,W,37056,441,23,-15,b,0,0,0,0,0,0,0,0
a,a,W,60597,1168,18,10,a,0,1,0,0,0,1393,1393,0
a,b,W,26753,341,33,-6,a,0,1,0,0,0,3374,3374,0
a,a,N,68865,41,-3,-20,a,1,0,0,0,0,190,190,0
c,a,W,64343,269,46,70,a,0,0,1,0,0,58466,31939,1
a,a,W,14501,442,7,25,a,0,1,0,0,0,3241,3241,0
a,a,W,5758,177,34,-3,a,1,0,0,0,0,350,350,0
b,a,W,31472,34,19,0,a,0,0,0,0,0,0,0,0
a,a,N,27852,160,32,-14,a,0,0,0,0,0,0,0,0
b,b,N,15469,27,-3,-52,b,0,0,0,0,0,0,0,0
a,a,W,198078,576,-13,54,a,0,0,1,0,0,68657,47491,1
b,a,N,10552,904,-6,-31,a,1,0,0,0,0,727,727,0
a,a,W,9270,360,-61,18,a,0,1,0,0,0,4196,4196,0
a,b,N,21753,1020,0,-33,a,0,0,0,0,0,0,0,0
a,a,N,12301,403,-1,-8,a,0,0,0,0,0,0,0,0
a,a,W,53342,134,4,19,a,0,1,0,0,0,1659,1659,0
a,a,W,22736,521,39,-21,a,0,0,0,0,0,0,0,0
b,a,W,14458,719,-47,2,a,0,0,0,0,0,0,0,0
a,b,W,5616,49,20,-4,a,0,0,0,0,0,0,0,0
a,a,N,28547,104,-16,-1,a,0,1,0,0,0,2424,2424,0
a,a,W,46650,235,17,15,a,1,0,0,0,0,451,451,0
a,b,W,25947,117,-32,14,a,0,0,0,0,0,0,0,0
a,a,W,75254,75,-5,-22,a,1,0,0,0,0,752,752,0
b,a,W,95708,314,11,0,a,0,0,0,0,0,0,0,0
b,a,W,48198,47,-78,63,a,0,1,0,0,0,2825,2825,0
c,a,W,35337,886,16,-19,a,0,1,0,0,0,1733,1733,0
b,a,N,25636,351,-20,10,b,1,0,0,0,0,453,453,0
a,a,W,64292,60,16,8,b,1,0,0,0,0,716,716,0
b,c,N,3228,189,4,-13,a,0,0,0,0,0,0,0,0
a,a,W,2961,553,-55,19,a,0,1,0,0,0,1434,1434,0
b,a,N,45938,222,17,15,a,0,1,0,0,0,1382,1382,0
a,a,N,13344,53,0,0,a,0,0,0,0,0,0,0,0
b,a,N,308994,10,18,-11,a,0,1,0,0,0,2035,2035,0
a,b,W,9219,32,1,24,a,0,0,0,0,0,0,0,0
a,a,N,11665,447,-30,-42,a,0,0,0,0,0,0,0,0
a,c,W,2840,215,-8,-12,a,1,0,0,0,0,263,263,0
a,a,N,26703,260,19,23,c,0,0,0,0,0,0,0,0
a,a,W,8391,147,-6,-14,a,1,0,0,0,0,223,223,0
b,a,W,25483,213,-12,-28,a,1,0,0,0,0,7,7,0
b,a,N,65835,320,48,-26,a,0,0,0,0,0,0,0,0
a,a,W,9495,84,17,35,a,0,0,0,0,0,0,0,0
a,b,N,7386,488,28,3,a,0,1,0,0,0,2546,2546,0
a,a,N,12847,129,64,22,a,1,0,0,0,0,245,245,0
b,b,W,39119,552,58,-66,a,1,0,0,0,0,485,485,0
a,a,N,8400,195,29,-35,b,0,1,0,0,0,4666,4666,0
a,a,W,16077,800,17,32,a,0,0,0,0,0,0,0,0
a,a,N,33669,578,45,9,a,0,0,0,0,0,0,0,0
a,a,W,44763,79,2,-23,a,0,0,0,0,0,0,0,0
a,b,W,4114,118,-3,7,a,0,1,0,0,0,2729,2729,0
a,a,W,71899,649,-27,36,b,0,0,0,0,0,0,0,0
a,b,N,1625,374,-16,32,a,0,0,0,0,0,0,0,0
a,a,W,21489,151,32,7,a,1,0,0,0,0,915,915,0
a,b,W,77825,208,8,-3,a,0,0,0,0,0,0,0,0
a,b,W,45998,268,34,25,a,0,1,0,0,0,2086,2086,0
a,a,W,16619,33,-26,-60,a,0,1,0,0,0,1111,1111,0
a,a,W,2895,21,-16,-39,a,0,1,0,0,0,2525,2525,0
a,a,W,4470,50,-53,-8,a,0,1,0,0,0,1070,1070,0
b,a,W,10950,320,14,11,a,0,0,0,0,0,0,0,0
a,a,W,71927,170,-16,0,a,0,1,0,0,0,2393,2393,0
a,a,W,30476,770,-30,-16,a,0,1,0,0,0,6910,6910,0
a,a,N,67046,719,68,-30,a,0,0,0,0,0,0,0,0
a,c,W,16443,63,6,18,b,0,1,0,0,0,1401,1401,0
a,a,W,8491,289,6,22,c,0,0,0,0,0,0,0,0
a,b,W,27429,18,1,43,b,0,0,0,0,0,0,0,0
a,a,N,169262,102,-5,-20,a,0,1,0,0,0,3581,3581,0
b,a,W,49542,364,34,5,a,0,1,0,0,0,9343,9343,0
b,a,W,21522,763,-6,7,b,0,1,0,0,0,1160,1160,0
a,a,N,73324,28,-1,-8,b,0,1,0,0,0,4389,4389,0
a,b,N,13446,423,-9,26,a,1,0,0,0,0,467,467,0
a,c,N,8773,175,24,16,a,0,0,0,0,0,0,0,0
a,a,W,11986,665,-13,-40,a,1,0,0,0,0,295,295,0
b,c,W,6973,894,-40,0,b,0,1,0,0,0,2912,2912,0
a,a,W,47449,97,10,36,a,0,0,0,0,0,0,0,0
c,c,W,29158,46,30,25,a,1,0,0,0,0,269,269,0
a,a,N,11181,330,14,1,c,0,0,0,0,0,0,0,0
a,c,N,24172,29,0,-13,a,0,1,0,0,0,1604,1604,0
a,b,W,33123,29,-3,-8,a,0,0,0,0,0,0,0,0
a,a,N,11786,357,56,-3,a,0,1,0,0,0,5943,5943,0
a,a,W,67861,142,21,29,a,0,0,0,0,0,0,0,0
a,a,W,61783,322,37,18,a,0,1,0,0,0,6943,6943,0
a,a,W,35050,243,-14,63,a,0,1,0,0,0,2769,2769,0
a,b,W,35103,13,-1,-43,a,1,0,0,0,0,433,433,0
a,b,N,64432,63,-22,-41,a,0,0,0,0,0,0,0,0
a,b,N,9593,1024,-32,-6,a,1,0,0,0,0,279,279,0
a,a,W,27004,998,-8,0,c,0,0,0,0,0,0,0,0
a,a,W,4100,504,-26,-32,b,0,0,0,0,0,0,0,0
a,a,N,90815,79,1,35,a,0,1,0,0,0,4144,4144,0
a,b,N,10279,569,50,6,b,0,0,0,0,0,0,0,0
a,a,W,35545,201,31,-10,a,0,0,0,0,0,0,0,0
a,a,N,29308,705,0,27,a,0,0,0,0,0,0,0,0
a,a,N,56395,1754,72,75,a,0,0,1,0,0,63977,32415,1
a,a,N,26617,1172,-35,0,a,0,0,0,0,0,0,0,0
a,a,W,21423,131,-30,-21,a,0,1,0,0,0,1475,1475,0
b,a,N,1918,110,-22,-28,a,0,1,0,0,0,1614,1614,0
a,c,N,8108,268,-2,1,b,1,0,0,0,0,336,336,0
a,a,N,38349,135,13,5,a,0,0,0,0,0,0,0,0
a,b,N,12047,148,19,6,a,0,0,0,0,0,0,0,0
a,a,N,73444,219,-19,-1,a,0,0,0,0,0,0,0,0
b,b,W,8421,478,27,38,a,0,1,0,0,0,1210,1210,0
a,a,N,24081,158,7,-3,a,0,1,0,0,0,4795,4795,0
b,b,N,31495,238,3,-36,a,0,1,0,0,0,1814,1814,0
a,b,N,23533,99,-5,9,a,0,1,0,0,0,3414,3414,0
a,a,N,72284,443,10,50,a,1,0,0,0,0,569,569,0
a,b,W,39046,277,-17,8,b,0,1,0,0,0,1098,1098,0
a,a,W,138868,1046,52,74,a,0,0,1,0,0,83966,27458,1
a,b,W,42317,253,6,32,a,0,0,0,0,0,0,0,0
a,a,N,93970,896,5,20,a,0,0,0,0,0,0,0,0
b,b,N,61068,966,68,110,a,0,0,1,0,0,141071,43301,1
a,b,W,11903,168,-40,-7,a,0,1,0,0,0,4577,4577,0
a,a,W,21170,167,-45,-12,a,0,1,0,0,0,1120,1120,0
a,a,W,14527,53,34,-12,b,1,0,0,0,0,702,702,0
b,b,W,18189,486,35,-20,a,1,0,0,0,0,729,729,0
a,b,W,6769,51,7,30,b,1,0,0,0,0,848,848,0
a,c,W,33730,232,63,9,a,0,1,0,0,0,4150,4150,0
a,a,N,10292,609,-72,17,a,0,0,0,0,0,0,0,0
c,a,N,13353,353,-19,16,a,1,0,0,0,0,465,465,0
a,a,W,40557,497,-26,33,a,0,1,0,0,0,1650,1650,0
a,a,N,33960,154,-20,34,a,1,0,0,0,0,726,726,0
a,a,N,13622,194,-26,-20,a,0,0,0,0,0,0,0,0
a,a,W,10026,134,25,13,a,0,1,0,0,0,1379,1379,0
a,a,W,69078,170,-5,-40,a,1,0,0,0,0,187,187,0
a,a,N,32317,663,57,-35,a,0,1,0,0,0,4393,4393,0
a,a,N,4287,133,-2,28,b,0,0,0,0,0,0,0,0
a,b,N,1144,13,6,-29,a,0,1,0,0,0,1077,1077,0
a,a,W,101743,11,12,-13,a,1,0,0,0,0,543,543,0
b,a,N,55618,315,-48,-17,a,0,1,0,0,0,3840,3840,0
a,a,W,29566,118,-21,-1,b,0,0,0,0,0,0,0,0
a,a,W,32911,286,-10,19,b,1,0,0,0,0,133,133,0
a,c,N,5190,622,37,10,a,0,1,0,0,0,2021,2021,0
a,a,W,6974,14,-4,-12,b,1,0,0,0,0,750,750,0
a,b,W,24015,219,40,-12,a,0,0,0,0,0,0,0,0
a,a,W,100185,603,-16,22,a,0,0,0,0,0,0,0,0
a,b,N,18790,124,-11,-8,a,0,0,0,0,0,0,0,0
a,a,N,4636,270,-72,-32,a,0,1,0,0,0,1976,1976,0
b,a,N,334421,1864,20,20,a,0,0,1,0,0,65242,21892,1
a,b,W,2871,13,-20,0,a,0,0,0,0,0,0,0,0
a,a,N,27835,833,77,-56,a,0,1,0,0,0,1820,1820,0
b,b,W,130454,1022,0,-17,a,1,0,0,0,0,484,484,0
a,a,N,5650,992,0,-22,a,1,0,0,0,0,684,684,0
a,b,W,88759,713,9,-17,a,0,0,0,0,0,0,0,0
a,b,N,12929,274,-39,-54,a,0,1,0,0,0,1789,1789,0
a,c,N,32983,32,46,-23,a,1,0,0,0,0,514,514,0
a,a,W,33284,44,13,-6,a,0,1,0,0,0,1419,1419,0
a,a,W,36168,32,-17,16,b,0,0,0,0,0,0,0,0
b,c,N,8837,386,16,2,a,1,0,0,0,0,756,756,0
a,b,N,25475,35,-36,-24,a,0,1,0,0,0,1935,1935,0
a,a,W,162113,489,116,64,a,0,0,1,0,0,29820,24620,1
a,a,N,97574,43,-92,19,a,0,0,0,0,0,0,0,0
a,a,W,81857,807,-30,-1,a,1,0,0,0,0,967,967,0
a,c,W,67072,2190,150,52,a,0,0,1,0,0,85235,26843,1
b,a,W,35692,441,20,-15,a,0,1,0,0,0,2898,2898,0
b,a,W,67748,207,-37,38,a,0,0,0,0,0,0,0,0
a,a,W,50236,344,20,-3,a,0,1,0,0,0,1515,1515,0
a,c,W,2738,80,60,15,a,0,1,0,0,0,1668,1668,0
b,b,W,17857,109,-18,-6,a,0,1,0,0,0,2560,2560,0
a,a,W,20497,51,2,-15,a,0,0,0,0,0,0,0,0
a,a,W,17885,434,11,20,a,0,0,0,0,0,0,0,0
a,c,W,2683,260,13,-18,a,0,1,0,0,0,2881,2881,0
b,b,W,127895,479,-5,0,a,0,0,0,0,0,0,0,0
a,a,W,60901,143,-26,-36,a,0,0,0,0,0,0,0,0
b,b,W,25891,125,-41,24,b,0,1,0,0,0,6945,6945,0
a,a,W,5732,564,-28,-5,a,1,0,0,0,0,899,899,0
a,b,W,3752,268,-65,39,a,0,0,0,0,0,0,0,0
a,a,W,49334,537,3,51,b,0,0,0,0,0,0,0,0
a,a,N,45694,140,-18,-43,a,0,0,0,0,0,0,0,0
a,b,N,23267,61,-16,27,a,1,0,0,0,0,63,63,0
a,a,W,42431,62,19,6,b,0,0,0,0,0,0,0,0
a,a,N,15842,301,-48,-32,a,0,0,0,0,0,0,0,0
a,a,N,41994,156,-20,-19,a,0,0,0,0,0,0,0,0
a,a,N,58379,108,-7,8,b,0,0,0,0,0,0,0,0
a,b,W,48149,121,-4,62,a,0,0,0,0,0,0,0,0
a,a,W,2431,1256,22,-33,a,1,0,0,0,0,967,967,0
a,a,W,22193,607,50,-57,a,0,1,0,0,0,4976,4976,0
b,a,N,39133,469,6,-12,a,0,1,0,0,0,1004,1004,0
a,a,N,54800,485,2,26,a,0,0,0,0,0,0,0,0
a,a,W,94009,208,-3,24,b,0,1,0,0,0,1348,1348,0
a,b,N,29410,165,60,5,a,0,0,0,0,0,0,0,0
a,a,N,53759,52,-41,-15,a,0,0,0,0,0,0,0,0
a,b,W,91424,231,-20,4,a,0,0,0,0,0,0,0,0
b,a,N,25519,70,5,25,a,0,1,0,0,0,1706,1706,0
a,a,N,46627,607,-3,47,a,0,0,1,0,0,26862,21056,1
b,a,W,32216,232,6,12,c,1,0,0,0,0,665,665,0
a,a,N,5757,142,13,24,a,0,1,0,0,0,1795,1795,0
a,b,W,12276,1040,3,11,a,1,0,0,0,0,775,775,0
a,a,W,11617,30,14,0,a,1,0,0,0,0,57,57,0
a,a,W,46056,81,2,-34,a,0,0,0,0,0,0,0,0
a,c,W,84540,499,-19,8,a,1,0,0,0,0,136,136,0
b,a,W,52879,213,-15,-63,a,0,0,0,0,0,0,0,0
b,a,W,3557,107,9,4,b,0,0,0,0,0,0,0,0
b,c,W,29270,234,18,9,a,0,1,0,0,0,2887,2887,0
b,a,N,35446,341,-11,52,a,0,0,0,0,0,0,0,0
b,b,W,30671,24,-23,17,b,0,0,0,0,0,0,0,0
b,a,N,21484,298,-23,-23,a,0,0,0,0,0,0,0,0
a,a,N,61109,273,-57,-9,a,0,1,0,0,0,1420,1420,0
a,a,W,31443,402,-86,0,c,0,1,0,0,0,1058,1058,0
a,a,N,34048,303,-26,-20,a,1,0,0,0,0,283,283,0
a,a,W,24090,663,-22,-6,a,0,0,0,0,0,0,0,0
b,a,W,115353,327,-47,0,a,0,1,0,0,0,1217,1217,0
a,b,W,19441,464,-77,-49,a,0,1,0,0,0,2950,2950,0
a,b,W,7766,56,-19,70,a,1,0,0,0,0,588,588,0
a,a,W,25607,68,-25,-18,a,0,0,0,0,0,0,0,0
a,a,W,22925,102,1,-28,a,0,0,0,0,0,0,0,0
a,a,N,5181,825,46,-9,a,0,0,0,0,0,0,0,0
a,b,N,20085,872,2,-43,a,0,0,0,0,0,0,0,0
a,a,N,6583,293,13,1,a,0,0,0,0,0,0,0,0
a,a,N,21211,243,-4,0,b,0,1,0,0,0,6882,6882,0
a,a,N,21443,24,-29,-9,a,0,0,0,0,0,0,0,0
a,c,W,42661,63,2,-25,a,0,1,0,0,0,2802,2802,0
a,a,N,12717,24,-38,3,a,0,0,0,0,0,0,0,0
a,a,W,14624,184,-8,16,a,0,1,0,0,0,3582,3582,0
a,a,W,29130,25,29,-13,b,1,0,0,0,0,89,89,0
b,b,W,19395,128,-13,-30,b,0,0,0,0,0,0,0,0
a,b,W,24215,141,-24,47,a,1,0,0,0,0,773,773,0
b,b,W,51478,1481,-37,13,c,0,0,0,0,0,0,0,0
a,b,W,25546,246,-59,17,a,0,0,0,0,0,0,0,0
b,a,W,115331,247,-1,-30,a,0,0,0,0,0,0,0,0
a,a,N,16846,315,-26,-36,a,1,0,0,0,0,276,276,0
a,b,W,39800,32,28,-16,a,0,0,0,0,0,0,0,0
a,a,W,50707,4338,30,10,a,0,0,1,0,0,36111,26695,1
a,a,N,159975,22,24,-9,a,0,0,0,0,0,0,0,0
b,b,N,10264,290,20,-20,a,0,0,0,0,0,0,0,0
a,b,W,8338,265,0,-28,c,0,0,0,0,0,0,0,0
c,c,N,62955,139,-9,-42,b,0,0,0,0,0,0,0,0
b,c,W,23272,377,6,-13,a,0,0,0,0,0,0,0,0
a,a,W,7778,388,-12,45,a,0,0,0,0,0,0,0,0
a,b,W,28225,578,3,-3,a,0,1,0,0,0,1308,1308,0
a,a,W,26302,43,-23,6,a,0,1,0,0,0,2368,2368,0
a,b,N,33437,48,-39,-18,b,0,0,0,0,0,0,0,0
